AMV3,'coal'
AVV1,'wood pellets'
AVV2,'wood pellets'
AMV1,'wood pellets'
AMV4,'wood chips'
ARC,'municipal waste'
ARGO5,'municipal waste'
ARGO6,'municipal waste'
HCV7,'natural gas'
HCV8,'natural gas'
KKV7,'wood chips'
KKV8,'wood chips'
VF5,'municipal waste'
VF6,'municipal waste'
HOB_BG,'biogas'
HOB_EL,'electricity'
HOB_FO,'fuel oil'
HOB_GO,'gas oil'
HOB_NG,'natural gas'
HOB_WP,'wood pellets'
HOB_WW,'wood waste'
EH,'excess heat'
HP,'electricity'
electric_chiller,'electricity'
free_cooling,'electricity'
HR_DC,'electricity'
